
Liste des tickets avec taches GLPI migrees vers DSIHUB
Total: 11279 tickets, 15577 taches GLPI migrees
Ticket #96 | Archivage fichiers de pointage | 1 tache(s) | IDs GLPI: 51114
Ticket #9300 | accès lecteur X: | 2 tache(s) | IDs GLPI: 43320,43321
Ticket #9303 | TR: Acces | 3 tache(s) | IDs GLPI: 43316,43317,43318
Ticket #9307 | rattachement imprimAnte URGENT | 1 tache(s) | IDs GLPI: 43314
Ticket #9308 | Pb accueil CAT | 1 tache(s) | IDs GLPI: 43313
Ticket #9310 | problème imprimante | 2 tache(s) | IDs GLPI: 43310,43311
Ticket #9311 | accès réseau | 1 tache(s) | IDs GLPI: 43308
Ticket #9312 | DsCloud pour les élus | 1 tache(s) | IDs GLPI: 43306
Ticket #9318 | Licence Windows | 2 tache(s) | IDs GLPI: 43299,43301
Ticket #9319 | Sessions agents Croizat | 1 tache(s) | IDs GLPI: 43296
Ticket #9341 | TR: Poste vérouillé | 1 tache(s) | IDs GLPI: 43289
Ticket #9355 | Windows | 1 tache(s) | IDs GLPI: 43285
Ticket #9356 | TR: connexion maison impossible | 1 tache(s) | IDs GLPI: 43283
Ticket #9362 | URGENT / Demande d'accès à adobe connect | 1 tache(s) | IDs GLPI: 43279
Ticket #9365 | Cellule Covid - Téléphone défaillant  | 1 tache(s) | IDs GLPI: 43278
Ticket #9412 | RE: Lience WINDOWS ordi portable bientôt expiré | 1 tache(s) | IDs GLPI: 43249
Ticket #9413 | connexion | 5 tache(s) | IDs GLPI: 43243,43244,43245,43246,43247
Ticket #9424 | Fiche arrivée d'un agent | 1 tache(s) | IDs GLPI: 43238
Ticket #9429 | problème de connexion à teams | 1 tache(s) | IDs GLPI: 43233
Ticket #9431 | Fiche_arrivee_duval | 3 tache(s) | IDs GLPI: 43228,43229,43231
Ticket #9433 | Bonjour,   je souhaitais voir avec vous si vous pouviez m'aider car je | 1 tache(s) | IDs GLPI: 43227
Ticket #9434 | TR: Demande de réunion Arpège | 2 tache(s) | IDs GLPI: 43222,43224
Ticket #9448 | PROBLEME POSTE 01 72 04 63 47 | 1 tache(s) | IDs GLPI: 43212
Ticket #9451 | Page bloquée | 1 tache(s) | IDs GLPI: 43207
Ticket #9452 | pb sur ouverture outlook et demande mdp lancement intranet | 1 tache(s) | IDs GLPI: 43206
Ticket #9462 | TR: CHANGEMENT DE NOM SUR MON TELEPHONE BUREAU | 1 tache(s) | IDs GLPI: 43204
Ticket #9463 | TR: CHANGEMENT DE NOM SUR MON TELEPHONE BUREAU | 1 tache(s) | IDs GLPI: 43202
Ticket #9464 | TR: Diverses demandes de modifications postes fixes | 1 tache(s) | IDs GLPI: 43200
Ticket #9470 | message erreur sur accès ameli vaccination | 1 tache(s) | IDs GLPI: 43193
Ticket #9472 | travail à distance et changement unité centrale | 1 tache(s) | IDs GLPI: 43190
Ticket #9473 | pb mdp ouverture session | 1 tache(s) | IDs GLPI: 43188
Ticket #9475 | TR: Intervention poste informatique et téléphonique (échanges des bureaux) | 1 tache(s) | IDs GLPI: 43185
Ticket #9479 | Fiche nouvelle arrivée - Claire DELMPOTTE  | 1 tache(s) | IDs GLPI: 43183
Ticket #9482 | Demande de nouveau matériel  | 1 tache(s) | IDs GLPI: 43180
Ticket #9484 | Demande d'une nouvelle ligne téléphonique | 3 tache(s) | IDs GLPI: 43175,43176,43177
Ticket #9498 | FAST ELUS | 1 tache(s) | IDs GLPI: 43171
Ticket #9503 | !Demande création de compte Paul Thaly | 1 tache(s) | IDs GLPI: 43168
Ticket #9507 | utilisation réseau M Benkahla | 1 tache(s) | IDs GLPI: 43165
Ticket #9516 | util signale non réception appels sur son fixe | 1 tache(s) | IDs GLPI: 43164
Ticket #9526 | récupération contenu | 1 tache(s) | IDs GLPI: 43161
Ticket #9530 | Demande d'aide connexion pc portable travail à distance | 1 tache(s) | IDs GLPI: 43160
Ticket #9536 | fiche arrivée Cyril Leblanc | 1 tache(s) | IDs GLPI: 43157
Ticket #9537 | Overture de session  | 1 tache(s) | IDs GLPI: 43155
Ticket #9539 | Fiche_arrivee_changement_service_depart-3 | 1 tache(s) | IDs GLPI: 43152
Ticket #9540 | Fiche_arrivee_TOUNSI CHEHINE | 1 tache(s) | IDs GLPI: 43150
Ticket #9541 | Fiche_arrivee_KHLIFI IMAN | 1 tache(s) | IDs GLPI: 43148
Ticket #9574 | Windows | 1 tache(s) | IDs GLPI: 43145
Ticket #9576 | Bonjour    Je vous relance pour un problème que j’avais déjà signalé,  | 1 tache(s) | IDs GLPI: 43142
Ticket #9577 | Modification UC VPN | 1 tache(s) | IDs GLPI: 43140
Ticket #9579 | création vpn ssl | 1 tache(s) | IDs GLPI: 43137
Ticket #9581 | TR: droits ddac | 1 tache(s) | IDs GLPI: 43134
Ticket #9583 | Pb d'activation pc portable Covid | 1 tache(s) | IDs GLPI: 43131
Ticket #9585 | Quota réseau | 2 tache(s) | IDs GLPI: 43128,43129
Ticket #9587 | Problème quota | 1 tache(s) | IDs GLPI: 43125
Ticket #9588 | TR: Syndicat FSU | 2 tache(s) | IDs GLPI: 43122,43123
Ticket #9590 | Pb d'accès en TAD | 1 tache(s) | IDs GLPI: 43119
Ticket #9593 | problèmes accès GAPI LIVRAISON | 2 tache(s) | IDs GLPI: 43115,43116
Ticket #9594 | CHANGEMENT NOM SUR CADRAN TELEPHONE  | 1 tache(s) | IDs GLPI: 43113
Ticket #9597 | TR: b l social sur poste informatique URGENT | 1 tache(s) | IDs GLPI: 43109
Ticket #9598 | TR: Intervention poste informatique et téléphonique (échanges des bureaux) | 1 tache(s) | IDs GLPI: 43107
Ticket #9602 | sos | 1 tache(s) | IDs GLPI: 43102
Ticket #9605 | Pret de pc portable | 1 tache(s) | IDs GLPI: 43099
Ticket #9606 | Droit d'accès à OPUS | 1 tache(s) | IDs GLPI: 43097
Ticket #9619 | Accès Intranet Monthieux Cecile | 3 tache(s) | IDs GLPI: 43087,43088,43089
Ticket #9620 | TR: Passage en Windows 10 pour les utilisateurs signant sur I-Parapheur | 2 tache(s) | IDs GLPI: 43083,43084
Ticket #9621 | Probleme Synchro GLPI / AD | 1 tache(s) | IDs GLPI: 43080
Ticket #9628 | probleme de connexion  vpn ssl | 1 tache(s) | IDs GLPI: 43074
Ticket #9644 | Bonjour  J’ai un problème d’espace sur mon disque.  Pouvez-vous interv | 1 tache(s) | IDs GLPI: 43060
Ticket #9646 | message sur ordi portable | 1 tache(s) | IDs GLPI: 43057
Ticket #9647 | demande d'accès à un dossier K | 1 tache(s) | IDs GLPI: 43055
Ticket #9651 | Carnet d'adresse OUTLOOK | 1 tache(s) | IDs GLPI: 43051
Ticket #9653 | Demande de cession pour écrivains | 1 tache(s) | IDs GLPI: 43048
Ticket #9655 | Plus d'accès internet sur l'EPI | 1 tache(s) | IDs GLPI: 43045
Ticket #9657 | Demande d'ajout de la boite mail de la structure | 1 tache(s) | IDs GLPI: 43043
Ticket #9662 | Message d'accès | 1 tache(s) | IDs GLPI: 43038
Ticket #9666 | casque téléphone | 1 tache(s) | IDs GLPI: 43034
Ticket #9667 | TR: demande poste informatique  | 3 tache(s) | IDs GLPI: 43030,43031,43032
Ticket #9669 | demande d'utilisation de Power BI desktop interdit par Sophos | 1 tache(s) | IDs GLPI: 43027
Ticket #9673 | TR: demande création session | 1 tache(s) | IDs GLPI: 43022
Ticket #9675 | TR: Besoin matériel ouverture du centre de vaccination | 5 tache(s) | IDs GLPI: 43016,43017,43018,43019,43020
Ticket #9691 | restauration de fichier | 1 tache(s) | IDs GLPI: 43007
Ticket #9696 | TR: Votre boîte aux lettres est presque pleine. | 1 tache(s) | IDs GLPI: 43003
Ticket #9697 | TR: Nouvelle arrivante - ligne téléphonique  | 1 tache(s) | IDs GLPI: 43002
Ticket #9703 | BAL saturée | 1 tache(s) | IDs GLPI: 42994
Ticket #9710 | TR: Installation poste téléphonique  - Espace GERARD PHILIPE -  | 1 tache(s) | IDs GLPI: 42987
Ticket #9712 | changement listes outlook | 1 tache(s) | IDs GLPI: 42981
Ticket #9715 | TR: Matériel arrivée nouvel agent service Habitat  | 3 tache(s) | IDs GLPI: 42976,42977,42978
Ticket #9724 | Changement de groupe Outlook | 1 tache(s) | IDs GLPI: 42967
Ticket #9727 | Problème de licence Windows sur ordinateur portable ville PO20126 | 1 tache(s) | IDs GLPI: 42966
Ticket #9728 | TR: Problème PC portable | 1 tache(s) | IDs GLPI: 42963
Ticket #9734 | Fourniture d'un cable telephonique | 1 tache(s) | IDs GLPI: 42957
Ticket #9735 | Création de dossier sur Dirgen (X) | 1 tache(s) | IDs GLPI: 42952
Ticket #9736 | lecteur réseau | 1 tache(s) | IDs GLPI: 42951
Ticket #9738 | Changement de nom | 2 tache(s) | IDs GLPI: 42945,42948
Ticket #9745 | Installe Sphynx | 1 tache(s) | IDs GLPI: 42940
Ticket #9773 | TR: DSI_DemandeDeTravailàDistance_Note_20201030.xlsx | 1 tache(s) | IDs GLPI: 42934
Ticket #9779 | dde d'intervention_changement de service/direction | 2 tache(s) | IDs GLPI: 42925,42928
Ticket #9780 | Petit pb avec ip desktop softphone | 1 tache(s) | IDs GLPI: 42924
Ticket #9786 | TAD - Bailly Hélène - Problème de connexion | 1 tache(s) | IDs GLPI: 42918
Ticket #9808 | TR: changement listes outlook | 1 tache(s) | IDs GLPI: 42903
Ticket #9813 | changement poste téléphonique | 1 tache(s) | IDs GLPI: 42897
Ticket #9816 | TR: Demande de poste COVID | 1 tache(s) | IDs GLPI: 42893
Ticket #9818 | besoin informatique Pôle familles et accueil | 3 tache(s) | IDs GLPI: 42889,42890,42891
Ticket #9822 | TR: Poste bureau direction | 1 tache(s) | IDs GLPI: 42885
Ticket #9824 | demande d' intervention | 1 tache(s) | IDs GLPI: 42883
Ticket #9826 | Accès en modification à certains répertoires | 1 tache(s) | IDs GLPI: 42881
Ticket #9828 | TR: net vision | 1 tache(s) | IDs GLPI: 42878
Ticket #9841 | disparition de dossiers sous X | 1 tache(s) | IDs GLPI: 42869
Ticket #9843 | Meike Bruns -expiration prochaine licence Windows-PO20128 | 1 tache(s) | IDs GLPI: 42866
Ticket #9844 | paramétrage messagerie | 2 tache(s) | IDs GLPI: 42864,42865
Ticket #9850 | Fwd: Quarantine Report for smedalel@ivry94.fr | 1 tache(s) | IDs GLPI: 42859
Ticket #9852 | TR: fils électriques dénudés urgent | 1 tache(s) | IDs GLPI: 42857
Ticket #9853 | Installation Teams sur ordinateur portable 18027  | 1 tache(s) | IDs GLPI: 42855
Ticket #9857 | Demande matériel | 3 tache(s) | IDs GLPI: 42850,42851,42852
Ticket #9858 | Mail externe | 1 tache(s) | IDs GLPI: 42848
Ticket #9861 | messagerie externe  | 1 tache(s) | IDs GLPI: 42845
Ticket #9864 | Fiche_arrivee_changement_service_depart CHEMLAL KENZA | 1 tache(s) | IDs GLPI: 42840
Ticket #9869 | lien zoom ne fonctionne pas | 1 tache(s) | IDs GLPI: 42837
Ticket #9875 | Licence Windows sur ordinateur portable | 1 tache(s) | IDs GLPI: 42828
Ticket #9878 | boite vocale  | 2 tache(s) | IDs GLPI: 42822,42824
Ticket #9892 | TR: Pc portable | 1 tache(s) | IDs GLPI: 42815
Ticket #9893 | Pb adresse mail interne | 1 tache(s) | IDs GLPI: 42813
Ticket #9900 | TR: disparition de dossiers sous X      | 1 tache(s) | IDs GLPI: 42806
Ticket #9902 | TR: Appels Sortants | 1 tache(s) | IDs GLPI: 42803
Ticket #9913 | Matériel défectueux | 1 tache(s) | IDs GLPI: 42796
Ticket #9918 | RE: Demande matériel + connexion réseau M. Mayindu Matondo Michel | 5 tache(s) | IDs GLPI: 42789,42790,42791,42792,42793
Ticket #9920 | TR: changement listes outlook | 1 tache(s) | IDs GLPI: 42784
Ticket #9927 | Problème connexion  | 1 tache(s) | IDs GLPI: 42777
Ticket #9938 | Demande installation Teams | 1 tache(s) | IDs GLPI: 42770
Ticket #9939 | RE: Demande installation Teams | 1 tache(s) | IDs GLPI: 42769
Ticket #9941 | changement de coordonnées | 1 tache(s) | IDs GLPI: 42765
Ticket #9948 | TR: compte Zoom | 2 tache(s) | IDs GLPI: 42758,42760
Ticket #9966 | RE:[GLPI #0009954] Ticket résolu VPN | 1 tache(s) | IDs GLPI: 42741
Ticket #9967 | Re: Problème de connexion internet sur PO18027 | 1 tache(s) | IDs GLPI: 42740
Ticket #9990 | licence qui va expirer ordinateur portable | 1 tache(s) | IDs GLPI: 42738
Ticket #9993 | licence windows 10 | 2 tache(s) | IDs GLPI: 42735,42736
Ticket #9995 | Pb affichage | 2 tache(s) | IDs GLPI: 42732,42734
Ticket #9999 | Tablette F. Oudart | 4 tache(s) | IDs GLPI: 42723,42724,42725,42726
Ticket #10015 | RE: Arrivées nouveaux agents | 1 tache(s) | IDs GLPI: 42709
Ticket #10018 | demande de restauration dossiers | 2 tache(s) | IDs GLPI: 42700,42702
Ticket #10021 | Monsieur,   Suite à l’appel téléphonique de ce jour, je me permets de  | 1 tache(s) | IDs GLPI: 42697
Ticket #10023 | ZOOM | 1 tache(s) | IDs GLPI: 42695
Ticket #10024 | Win10 + aiviewer + autocad | 1 tache(s) | IDs GLPI: 42694
Ticket #10031 | contenu disparu | 1 tache(s) | IDs GLPI: 42692
Ticket #10033 | demande suppression accès boite mail | 1 tache(s) | IDs GLPI: 42690
Ticket #10042 | Fichier perdu | 2 tache(s) | IDs GLPI: 42682,42683
Ticket #10046 | Pb activation | 1 tache(s) | IDs GLPI: 42681
Ticket #10051 | Problème poste téléphonique | 1 tache(s) | IDs GLPI: 42676
Ticket #10052 | démo logiciel Opus sur Teams | 1 tache(s) | IDs GLPI: 42674
Ticket #10054 | Fiche_arrivee audrey | 1 tache(s) | IDs GLPI: 42671
Ticket #10055 | Fiche_arrivee RYAN | 1 tache(s) | IDs GLPI: 42669
Ticket #10056 | Fiche_arrivee SEVAN | 1 tache(s) | IDs GLPI: 42667
Ticket #10057 | Fiche_arrivee NAWEL | 1 tache(s) | IDs GLPI: 42665
Ticket #10058 | DSI_DemandeDeTravailàDistance_Note_20200908_Vservice (2).xlsx | 1 tache(s) | IDs GLPI: 42663
Ticket #10071 | CMS - URGENT | 1 tache(s) | IDs GLPI: 42656
Ticket #10075 | Problème envoi mails | 1 tache(s) | IDs GLPI: 42651
Ticket #10077 | adresse mail bloquée par SOPHOS | 1 tache(s) | IDs GLPI: 42647
Ticket #10078 | URGENT- CMS - DEMANDE DE FORMULAIRE  | 1 tache(s) | IDs GLPI: 42645
Ticket #10082 | boîte mail : contenance à améliorer  | 1 tache(s) | IDs GLPI: 42643
Ticket #10084 | URGENT pas de telephone au multi accueil Rosa Bonheur | 1 tache(s) | IDs GLPI: 42641
Ticket #10088 | restauration fichier enregistré par erreur | 1 tache(s) | IDs GLPI: 42636
Ticket #10090 | Pb prise téléphone | 1 tache(s) | IDs GLPI: 42633
Ticket #10091 | RE: Accès archive outlook | 1 tache(s) | IDs GLPI: 42631
Ticket #10100 | Arrivée Rene-Marie MERCIUS le 19/04/2021 | 4 tache(s) | IDs GLPI: 42622,42623,42624,42625
Ticket #10102 | Accès boite mail Accueil Habitat  | 1 tache(s) | IDs GLPI: 42617
Ticket #10110 | oubli mdp | 1 tache(s) | IDs GLPI: 42615
Ticket #10116 | installation lecteur carte vitale 2eme poste accueil médecine  | 1 tache(s) | IDs GLPI: 42612
Ticket #10122 | util ne recoit pas message de l'extérieur | 1 tache(s) | IDs GLPI: 42605
Ticket #10127 | Demande Création dossier sous K | 1 tache(s) | IDs GLPI: 42601
Ticket #10128 | Fiche_arrivee_changement_service_depart | 1 tache(s) | IDs GLPI: 42598
Ticket #10133 | CMS - téléphone fixe 86 40 Nathalie TILHAC | 1 tache(s) | IDs GLPI: 42595
Ticket #10135 | CMS - 86 37 Sabrina Nini | 1 tache(s) | IDs GLPI: 42593
Ticket #10136 | perte d'un dossier dans Outlook | 1 tache(s) | IDs GLPI: 42591
Ticket #10141 | CMS - TELEPHONIE - CSAPA 2EME LIGNE ACCUEIL | 1 tache(s) | IDs GLPI: 42587
Ticket #10142 | CMS - TELEPHONIE - LIGNE LABO LCSH | 1 tache(s) | IDs GLPI: 42585
Ticket #10143 | connexion vpn | 1 tache(s) | IDs GLPI: 42583
Ticket #10144 | URGENT espace de stockage | 1 tache(s) | IDs GLPI: 42582
Ticket #10145 | pb accès réseau DDAC | 1 tache(s) | IDs GLPI: 42579
Ticket #10168 | Fiche_arrivee_changement_service_depart | 1 tache(s) | IDs GLPI: 42568
Ticket #10170 | RE: Arrivées nouveaux agents | 4 tache(s) | IDs GLPI: 42562,42563,42564,42565
Ticket #10171 | RE: Arrivées nouveaux agents | 1 tache(s) | IDs GLPI: 42558
Ticket #10180 | TR: Fiche_arrivee_changement_service_depart Souare Mbamoussa | 1 tache(s) | IDs GLPI: 42549
Ticket #10183 | Fiche arrivée | 1 tache(s) | IDs GLPI: 42547
Ticket #10185 | Fiche_arrivee_changement_service_depart | 2 tache(s) | IDs GLPI: 42543,42544
Ticket #10186 | pb remontée du bon lecteur X | 5 tache(s) | IDs GLPI: 42536,42537,42538,42540,42541
Ticket #10187 | PO20142 - licence windows 10 | 1 tache(s) | IDs GLPI: 42535
Ticket #10188 | Arrivée de monsieur Tighrine au service Multimédia | 5 tache(s) | IDs GLPI: 42530,42531,42532,42533,42534
Ticket #10214 | Pb de suppression | 1 tache(s) | IDs GLPI: 42525
Ticket #10215 | TR: c'est grave docteur ? :) | 1 tache(s) | IDs GLPI: 42524
Ticket #10219 | Pb son ordi | 2 tache(s) | IDs GLPI: 42522,42523
Ticket #10220 | Accès fiches familles [glpi#0004987 | 1 tache(s) | IDs GLPI: 42520
Ticket #10231 | l'utilisatrice n'a pas accès à l'intranet | 1 tache(s) | IDs GLPI: 42515
Ticket #10234 | impossible de se connecter au vpn | 1 tache(s) | IDs GLPI: 42511
Ticket #10240 | Problème avec le portable | 2 tache(s) | IDs GLPI: 42506,42507
Ticket #10243 | activation windows | 1 tache(s) | IDs GLPI: 42505
Ticket #10245 | TR: Modifications lignes interphone | 2 tache(s) | IDs GLPI: 42503,42504
Ticket #10257 | TAD | 1 tache(s) | IDs GLPI: 42501
Ticket #10261 | KMS | 1 tache(s) | IDs GLPI: 42498
Ticket #10266 | MDP | 1 tache(s) | IDs GLPI: 42495
Ticket #10267 | RE: CMS - demande de smartphones | 1 tache(s) | IDs GLPI: 42493
Ticket #10272 | TR: Comité des Pairs, la suite... | 1 tache(s) | IDs GLPI: 42488
Ticket #10300 | Lecteur I: | 1 tache(s) | IDs GLPI: 42474
Ticket #10303 | Licence Windows | 1 tache(s) | IDs GLPI: 42471
Ticket #10305 | FAX | 2 tache(s) | IDs GLPI: 42467,42468
Ticket #10308 | Arrivée de Mme Oumayma EL HASSANI / PC/OUTLOOK/tél portable en plus | 2 tache(s) | IDs GLPI: 42463,42464
Ticket #10316 | Pb portable | 1 tache(s) | IDs GLPI: 42460
Ticket #10319 | Depannage photocopieur | 1 tache(s) | IDs GLPI: 42456
Ticket #10325 | UC10047 - pour renouvellement | 3 tache(s) | IDs GLPI: 42446,42447,42450
Ticket #10328 | Lecteur réseau | 1 tache(s) | IDs GLPI: 42442
Ticket #10331 | Appli Zoom secteur SIRH | 1 tache(s) | IDs GLPI: 42439
Ticket #10338 | TR: Arrivée de Mme Oumayma EL HASSANI / PC/OUTLOOK/tél portable en plus | 1 tache(s) | IDs GLPI: 42438
Ticket #10341 | CMS - CSAPA -  ligne téléphonique | 1 tache(s) | IDs GLPI: 42434
Ticket #10345 | FICHE ARRIVEE | 3 tache(s) | IDs GLPI: 42425,42426,42429
Ticket #10346 | FICHE ARRIVEE | 1 tache(s) | IDs GLPI: 42423
Ticket #10350 | Création d'un compte | 1 tache(s) | IDs GLPI: 42418
Ticket #10351 | CMS - FORMULAIRE DSI | 1 tache(s) | IDs GLPI: 42416
Ticket #10355 | TR: CMS - TELEPHONIE - CHANGEMENT NOM LIGNE ET INFO OUTLOOK | 1 tache(s) | IDs GLPI: 42414
Ticket #10356 | Boites mails SCC et SCC 2 saturées | 2 tache(s) | IDs GLPI: 42411,42412
Ticket #10358 | CMS - HOTLINE - DROITS - TELEPHONIE -ATTENTE CELLULAIRES | 2 tache(s) | IDs GLPI: 42407,42408
Ticket #10360 | Fast docapost | 1 tache(s) | IDs GLPI: 42404
Ticket #10364 | Mbamoussa SOUARE | 2 tache(s) | IDs GLPI: 42400,42401
Ticket #10366 | TR: Fiche_arrivee_changement_service_depart CHEMLAL KENZA | 1 tache(s) | IDs GLPI: 42399
Ticket #10368 | Messagerie | 1 tache(s) | IDs GLPI: 42395
Ticket #10369 | Ouverture de droits | 1 tache(s) | IDs GLPI: 42393
Ticket #10380 | connexion à distance | 1 tache(s) | IDs GLPI: 42388
Ticket #10386 | Help | 1 tache(s) | IDs GLPI: 42385
Ticket #10388 | Problèmes excel | 1 tache(s) | IDs GLPI: 42384
Ticket #10392 | TR: Création de comptes | 1 tache(s) | IDs GLPI: 42381
Ticket #10394 | Demande accès X:/ AFD | 1 tache(s) | IDs GLPI: 42380
Ticket #10400 | RE: Problèmes excel | 1 tache(s) | IDs GLPI: 42374
Ticket #10403 | TR: installation matériel M Braka | 2 tache(s) | IDs GLPI: 42370,42371
Ticket #10405 | Acces au logiciel Kodac (radio dentaire) | 1 tache(s) | IDs GLPI: 42366
Ticket #10406 | Messagerie | 1 tache(s) | IDs GLPI: 42364
Ticket #10411 | Attribution poste téléphonique El Hassani Oumayma | 1 tache(s) | IDs GLPI: 42360
Ticket #10413 | Service Petite enfance / RAM / URGENT | 1 tache(s) | IDs GLPI: 42356
Ticket #10415 | message erreur sur connexion aovpn | 1 tache(s) | IDs GLPI: 42354
Ticket #10416 | Modification groupe multimedia@ | 1 tache(s) | IDs GLPI: 42352
Ticket #10417 | COMMANDE DE PC PORTABLE/ URGENT | 1 tache(s) | IDs GLPI: 42351
Ticket #10457 | tad | 1 tache(s) | IDs GLPI: 42343
Ticket #10458 | tad | 1 tache(s) | IDs GLPI: 42342
Ticket #10461 | KMS | 1 tache(s) | IDs GLPI: 42340
Ticket #10464 | Disparitions fichiers sur le réseau | 2 tache(s) | IDs GLPI: 42337,42338
Ticket #10472 | 2e adresse mail | 1 tache(s) | IDs GLPI: 42333
Ticket #10473 | Fiche_arrivée_changement service_départ | 2 tache(s) | IDs GLPI: 42328,42330
Ticket #10474 | groupe responsable de service | 2 tache(s) | IDs GLPI: 42325,42326
Ticket #10487 | TR: Bienvenue sur Calendly | 1 tache(s) | IDs GLPI: 42320
Ticket #10491 | RE: Fax + ordinateur | 1 tache(s) | IDs GLPI: 42317
Ticket #10493 | Poste 2539 | 1 tache(s) | IDs GLPI: 42315
Ticket #10495 | liste de distribution | 1 tache(s) | IDs GLPI: 42311
Ticket #10502 | ligne téléphonique de Kenza CHEMLAL | 1 tache(s) | IDs GLPI: 42310
Ticket #10503 | RE: Création de comptes | 1 tache(s) | IDs GLPI: 42307
Ticket #10507 | Centre de vaccination - Urgent | 1 tache(s) | IDs GLPI: 42305
Ticket #10514 | dde d'intervention changement de direction | 2 tache(s) | IDs GLPI: 42299,42300
Ticket #10520 | problème ordi portable | 1 tache(s) | IDs GLPI: 42296
Ticket #10531 | réppondeur télèphonique | 1 tache(s) | IDs GLPI: 42286
Ticket #10542 | Teams | 1 tache(s) | IDs GLPI: 42282
Ticket #10551 | TR: Changement informations téléphoniques | 1 tache(s) | IDs GLPI: 42274
Ticket #10564 | configuration de poste pour un nouvel arrivant | 2 tache(s) | IDs GLPI: 42264,42265
Ticket #10586 | TR: connexion [GLPI #0010581] | 4 tache(s) | IDs GLPI: 42247,42248,42249,42250
Ticket #10589 | Zoom | 1 tache(s) | IDs GLPI: 42244
Ticket #10590 | RE: M. DE CARVALHO | 3 tache(s) | IDs GLPI: 42241,42242,42243
Ticket #10617 | Problème de place sur boite outlook | 1 tache(s) | IDs GLPI: 42235
Ticket #10618 | Appli SOPRANO | 2 tache(s) | IDs GLPI: 42230,42231
Ticket #10620 | n'arrive pas à se connecter | 2 tache(s) | IDs GLPI: 42226,42227
Ticket #10625 | CMS HOTLINE - DOSSIERS PUBLICS - CONTACT RAMEAU - RESTAURATION PRESENTE | 1 tache(s) | IDs GLPI: 42223
Ticket #10626 | fiche d'arrivée de Mme Lina Rincon-Chavez | 2 tache(s) | IDs GLPI: 42219,42220
Ticket #10627 | fiche d'arrivée de Mme Lina Rincon-Chavez | 1 tache(s) | IDs GLPI: 42217
Ticket #10633 | erreur lors du démarrage du poste | 2 tache(s) | IDs GLPI: 42212,42213
Ticket #10643 | activation windows | 1 tache(s) | IDs GLPI: 42209
Ticket #10646 | elise | 1 tache(s) | IDs GLPI: 42207
Ticket #10653 | elise | 1 tache(s) | IDs GLPI: 42203
Ticket #10655 | Urgent supression dossier X | 1 tache(s) | IDs GLPI: 42202
Ticket #10660 | Requêtes Opus Caf : message Microsoft office 2010 | 2 tache(s) | IDs GLPI: 42197,42199
Ticket #10662 | droits d'acces X | 1 tache(s) | IDs GLPI: 42195
Ticket #10664 | poste lent au démarrage | 2 tache(s) | IDs GLPI: 42192,42194
Ticket #10676 | outlook | 1 tache(s) | IDs GLPI: 42187
Ticket #10678 | Rajoût de mémoire sur ma boite outlook | 1 tache(s) | IDs GLPI: 42186
Ticket #10681 | TR: droits d'accès de Mbamoussa SOUARE | 1 tache(s) | IDs GLPI: 42181
Ticket #10691 | e-Congés | 1 tache(s) | IDs GLPI: 42178
Ticket #10696 | demande d'intervention | 1 tache(s) | IDs GLPI: 42171
Ticket #10699 | carnet d'adresse à rajouter | 1 tache(s) | IDs GLPI: 42167
Ticket #10708 | Boîte mail | 1 tache(s) | IDs GLPI: 42162
Ticket #10709 | TR: Message delivery incomplete | 1 tache(s) | IDs GLPI: 42161
Ticket #10719 | Probleme Casque | 1 tache(s) | IDs GLPI: 42157
Ticket #10721 | Nouvel uc de rattachement temporaire  | 1 tache(s) | IDs GLPI: 42154
Ticket #10729 | Demande d'accès pour monsieur Guillaume Hébert | 3 tache(s) | IDs GLPI: 42149,42150,42151
Ticket #10734 | CMS - DSI - DEMENAGEMENT PHASE 3 : COUTANT | 3 tache(s) | IDs GLPI: 42141,42142,42143
Ticket #10736 | partage de calendrier | 1 tache(s) | IDs GLPI: 42138
Ticket #10747 | TR: Problèmes excel | 1 tache(s) | IDs GLPI: 42133
Ticket #10753 | accés JITSI | 1 tache(s) | IDs GLPI: 42128
Ticket #10755 | Demande de Caméra service RPI | 1 tache(s) | IDs GLPI: 42124
Ticket #10759 | Pb rappels Outlook | 1 tache(s) | IDs GLPI: 42120
Ticket #10762 | donner droit sur fichiers situés sur lecteur X | 1 tache(s) | IDs GLPI: 42118
Ticket #10767 | Besoin centre dépistage/vaccination | 4 tache(s) | IDs GLPI: 42110,42111,42112,42113
Ticket #10770 | Accès servreur CMS Mme MARTIN | 4 tache(s) | IDs GLPI: 42103,42104,42106,42107
Ticket #10772 | pbl téléphonie  | 2 tache(s) | IDs GLPI: 42099,42100
Ticket #10796 | connexion vpn nok | 1 tache(s) | IDs GLPI: 42095
Ticket #10797 | Changement de compte - URGENT | 2 tache(s) | IDs GLPI: 42092,42094
Ticket #10800 | Fiche_arrivee_changement_service_depart_CherifiChafya | 2 tache(s) | IDs GLPI: 42087,42088
Ticket #10801 | numéro UC à changer sur connexion vpn | 1 tache(s) | IDs GLPI: 42086
Ticket #10803 | Restauration de dossier sur X + augmentation volume K | 1 tache(s) | IDs GLPI: 42084
Ticket #10812 | poste 64.06 | 1 tache(s) | IDs GLPI: 42076
Ticket #10813 | RE: [GLPI #0008853] Root entity &gt; Support | Clôture du ticket : URGENT | 1 tache(s) | IDs GLPI: 42074
