Direction;emailDIR;Date;Quoi ?;Type;Service;EmailSER;Cout TTC;Arbitrage ;Priorité;Suivi;Commentaire ?;TICKET;LIEN;DSI;SUIVI2;GRU
DSALE;;18/11/2025;Nomadisme;Projet;ATSL;;?;OK DSI ;;Fait contacter GLPI 43102 contacter fplichart@ivry94.fr;Renforcer nomadisme des agents: pb de connexion au wifi ou à la 4G, voir install wifi dans salle des profs;43102;Lien;IRS;;
DSF;;15/09/2025;Totem;Demande;DSF;;0;OK DSI;;Fait;Mise en client serveur;;;NCH;;
DAC;;04/11/2025;Dispositif Microfolies;Demande;DAC;;1000;OK DSI;;A étudier précisément besoins contacter claffrat@ivry94.fr;Demande Imprimante 3D: pour activités pédagogiques;;;CLA/SSD;;
DSALE;;18/11/2025;Maintenance dans les écoles et Astech;Projet;SE;;0;OK DSI;;Opportunité à étudier contacter nchemame@ivry94.fr;Amélioration du processus de demande de travaux pour les gardiens d'école;;;NCH;;
DAC;;04/11/2025;Dispositif Microfolies;Demande;DAC;;1000;OK DSI;;A étudier précisément besoins contacter claffrat@ivry94.fr;Demande Casques de VR: dotation de 2 casques;;;CLA/SSD;;
DAJCP;;09/10/2025;Besoin d’un nouvel IPAD pour SCC (Urgent avant le 17/10);Demande;SCC;;0;OK DSI;;Fait;;41901;Lien;SSD;;
DAJCP;;09/10/2025;Parapheur;Incident;SCC;;;OK;;Fait;pb des notifications, pas reçues, relancer support Libriciel;;;CLA;;
DAJCP;;09/10/2025;Airdelib V6;Demande;SCC;;0;OK DSI;;Fait;Diffuser le tuto et la vidéo sur Intranet (DSI et DAJCP) : voir avec Arsène Tighrine(Dircom);;;CLA;;
DAJCP;;09/10/2025;Imprimante Etat-Civil;Demande;AFFCV;;500;OK DSI;;Fait;1 imprimante à changer car plus de pièces détachées;;;SSD;;
DAJCP;;09/10/2025;Mélodie;Demande;AFFCV;;0;OK DSI;;Fait;"pour Ivry ma ville, besoin de stats, utiliser un jeton Arpege pour avoir une requête mensuelle 
sur naissances, décès, mariages";;;CLA;;
DAJCP;;09/10/2025;Imprimante démarches citoyennes;Demande;AFFCV;;500;OK DSI;;Fait;A remplacer car plus de pièces détachées;;;SSD;;
DAJCP;;09/10/2025;Pb imprimante sur feuille de registre;Incident;AFFCV;;;;;Fait;"imprimante quasi neuve mais bcp utilisée, faire venir un technicien
du prestataire Cohesio pour voir si pièces défectueuses : voir avec SSD";;;SSD;;
DAJCP;;09/10/2025;Ecran ENI salle de réunion CAT même demande que DBC;Demande;DAJCP;;2000;OK DSI;;Fait;Mourad doit se déplacer pour voir la dimension, et le meuble avant le 17/10;;;SSD;;
DAJCP;;09/10/2025;Copieur couleur cimetière;Demande;AFFCV;;;DG;;Fait Multifontion Couleur OK;Car le leur est en panne;;;SSD;Préciser l'usage;
DBC;;05/11/2025;Besoin matériel récupérer le traceur;Demande;BE;;;DSI;;Fait;;;;SSD;;
DSF;;15/09/2025;Chaine de facturation;Projet;DSF;;0;OK DSI;;Fait;Processus trop long. Problème côté éditeur et Millésime : outil peu fluide. Astech : problème avec pièces complémentaires.;;;NCH;;
DSF;;15/09/2025;Sedit GF;Projet;DSF;;7000;DG 2026;1;Planification en cours contacter nchemame@ivry94.fr;"Développement à envisager d’une comptabilité analytique dans Sedit.
Coût de paramétrage formation et d'étude avec BL 6 jours de prestations";;;NCH;;
DBC;;05/11/2025;Poste CAO Fixe / Roxane;Demande;;;2000;OK DSI;;Contacter fplichart@ivry94.fr pour suivi demande;"voudrait un poste fixe car sa carte graphique sur son portable plante avec 8 Go 
de GPU pour la suite logiciel Twin motion au moins carte graphique de 32 Go";;;SSD;;
DDAC;;05/11/2025;ENI;Demande;DDAC;;2000;OK DSI ;;Fait;ENI pour salle de réunion direction DDAC (ticket 39023);;;SSD;Manque 1 ENI avec Chariot;
DDAC;;05/11/2025;Ordinateurs;Demande;PLCI;;0;OK DSI ;; Contacter fplichart@ivry94.fr pour suivi réconditionnement;2 PC fixes au sous-sol de Cachin pour rediger CR et echanges mails entre ASVP, accès internet déjà OK;;;SSD;;
DDAC;;05/11/2025;Ordinateurs;Projet;DDAC;;2400;OK DSI;;A préciser contacter fplichart@ivry94.fr;"4 ordinateurs portables pour les cours de français assurés par des bénévoles, ou bien
des vidéoprojecteurs compatibles pour diffuser avec smartphone type Chrome Cast (Powerpoint, vidéo, etc..)
donc relié à la demande service vie de quartiers.";;;SSD;;
DDAC;;05/11/2025;Vidéoprojecteur;Demande;SEGP;;?;?;;Déclaration de perte ?;Besoin 1 pico-projecteur pour les référents de quartier, suite disparition de l’ancien;;;SSD;;
DDAC;;05/11/2025;Vidéoprojecteur correspond à la demande DDAC;Demande;SVDQ;;-;-;;Doublon;"Besoin de renouveler 4 vidéoprojecteurs pour les 4 maisons de quartier (pour projeter cours , PPT) 
(achetés sur budget du service DDAC) + 1 pour DDAC";;;SSD;;
DDAC;;05/11/2025;Imprimante;Incident;SEGP;;;;;Doublon;Imprimante des référents des quartiers : souvent en panne;;;SSD;;
DDAC;;05/11/2025;Copieur;Demande;SEGP;;3000;OK DSI ;;Fait;Copieur en attente, car imprimante actuelle date de 2009;43074 ;;SSD;;
DDAC;;05/11/2025;Ordinateur;Demande;SEGP;;500;OK DSI ;;Fait;Espace débat: changement ordinateur fixe;;;SSD;;
DDAC;;05/11/2025;Connexion réseau ou switch;Demande;SEGP;;500;OK DSI ;;Voir abec SMPPB;Bureau de Jim SCHEERS: 2ème entrée Internet ou switch car disposition du bureau a changé;;;SSD;;
DDAC;;05/11/2025;ENI;Demande;PLCI;;2000;DSI;;Voir besoin;Salle de réunion du service à jeanne Hachette : besoin d'un ENI, envoyer fiche d'opportunité à Gwen pour justifier la demande;;;SSD;;
DBC;;05/11/2025;Astech remettre les points tous les mois avec EM, NC , FB MC,;Demande;BE;;;DSI;;Fait;;;;NCH;;
DIRCOM;;09/09/2025;Ligne téléphonique internationale;Demande;RPI;;0;OK DSI;;Fait (fixe);"Nécessité d’un poste fixe + smartphone pour appels à l’international.
Référente : Caroline BIOTEAU.";;;IRS;;
DDAC;;05/11/2025;Vidéoprojecteur;Demande;DDAC;;600;?;;Voir l'usage ?;Un vidéoprojecteur pour la salle de réunion de la Direction pour faire des formations mobiles;;;SSD;;
DSF;;15/09/2025;Bysness Objects;Projet;DSF;;0;OK DSI;;Projet BO en cours contacter ekron@ivry94.fr;Vérifier la connexion entre univers et BO Point à revoir entre Edwige SERRE et Elena. Problème de rapatriement des requêtes.;;;EKR;;
DDAC;;05/11/2025;Ordinateurs;Demande;DDAC;;3000;OK DSI ;;A préciser contacter fplichart@ivry94.fr;Besoin de 4 PC (2 fixes et 2 portables) sur Jeanne Hachette suite aux travaux;;;SSD;;
DSPORTS;;27/11/2025;Billetterie en ligne Piscine;Projet;SEN;;?;DG 2027;;A étudier en 2027;"Voir tarif de vente en lignes de place ou de remplir sa carte en ligne
demande devis à Vivaticket et organiser réunion avec le commercial";;;CLA;;Oui
DDU;;26/11/2025;ENI Ecran de la salle de réunion accompagnement;Demande;DDU;;0;OK DSI ;;A organiser contacter fplichart@ivry94.fr;"L’écran est installé et jugé pratique. Toutefois, tous les agents ne sont pas encore familiarisés avec son utilisation.
Un accompagnement serait souhaité pour optimiser les Visio, le partage de documents, etc.";;;SSD;;
DAC;;04/11/2025;Autocad;Demande;AP-GLF;;4000;DSI;;Motiver;Autocad, besoin de motiver ce besoin;;;DSI;;
DSPORTS;;27/11/2025;Logiciel montage vidéo;Projet;SASM;;;OK DSI;;"A préciser avec une fiche d'opportunité 
contacter claffrat@ivry94.fr";"besoin d’un logiciel basique (du type movie maker) /fiche opportunité -  Pour qui ? Sur quel ordi ? Changement d'ordi ?
Service doit remplir une fiche d'opportunité";;;CLA;;
DDU;;26/11/2025;Tablettes avec Cart@DS;Demande;SUR;;800;OK DSI ;;Contacter fplichart@ivry94.fr pour suivi demande;"Muriel exprime un besoin : utiliser les tablettes comme véritable outil de travail terrain.
Besoin : accéder au logiciel depuis tablette comme depuis PC.
Farouk demande une quantification : 2 tablettes seraient idéales.";;;SSD;;
DSPORTS;;27/11/2025;Numérisation des cartes adhérents;Projet;SASM;;;DSI;;A préciser besoins contacter claffrat@ivry94.fr;Faire fiche opportunité  (possible en 2025);;;CLA;En attente du retour de la fiche d'opportunité envoyé par Fatima;Oui
DSPORTS;;27/11/2025;Logiciel stock/matériel inventaire;Projet;SASM;;;DSI;;A préciser besoins contacter nchemame@ivry94.fr;"Besoin d’un logiciel inventaire pour l’ensemble de la direction 
à As-tech (GMAO / patrimoine) ou planitech (idéalement) 
/ Faire fiche opportunité";;;CLA/NCH;;
DSPORTS;;27/11/2025;Logiciel de planification SKELLO (3 ans);Projet;SIS & SEN;;15000;DG 2026;1;En cours étude contacter claffrat@ivry94.fr;"Laurence CHAUVIN projet planification, gros besoin au niveau du service installation sportives,
service équipements nautiques, Skello ferait l'unanimité (utilisé dans les piscines privé)
5500 euros par an Skello pour 80 agents. Celia connait UBEE Planning";;;CLA;;
DEP;;07/10/2025;Copieurs;Demande;DEP;;3500;OK DSI;;"Changement Lamand
Autre : Maintenance
";"Dysfonctionnements fréquents :
Gutenberg 5 – 3? étage : temps de réponse lent, bourrages fréquents.
Marcel Lamant : 2 appareils hors service (ont pris l’eau).
Rigaud : 1 photocopieur à l’étage, celui du RDC (Frantz) présente des bourrages papier.
Magasin (Franck) : appareil vieillissant.
Décision : étude de renouvellement à prévoir dans le cadre des demandes 2024.";;;SSD;;
DSALE;;18/11/2025;Divers problèmes;Incident;SE;;0;OK DSI ;;Organisation à mettre en place;"Voici les pbs rencontrés :
•Convention: problème de conventionnement (convention perdue à l'éducation nationale)
•Marché à groupement de commande: Benelux School pour maternelles
•Améliorer la qualité du travail avec la DSI (Reda et Marc), instaurer un comité de suivi numérique régulier 
avec dimension politique (réécriture du PEDT) et technique.
Manque d'infos sur le matériel disponible dans les classes, audit à faire ; 
suppression des salles informatiques remplacé par tablettes, pas très efficient.";;;RG;;
DSALE;;18/11/2025;Wifi;Demande;ATSL;;500;OK DSI ;;Fait;Besoin de borne wifi dans salle de réunion DSALE et dans bureau de L. Dauty;;;IRS;pb utilisation;
DSPORTS;;27/11/2025;IA;Projet;SASM;;;;;;Quid de l'IA comment on le met en place et nous sommes accompagnés;;;DSI;;
DEP;;07/10/2025;Relance du marché stationnement;Projet;SDS;;0;OK DSI;;En cours contacter fplichart@ivry94.fr;Renouvellement du marché PaybyPhone à venir. Aspects techniques suivis par Franck P.;;;SSD;??????????;Oui
DEP;;07/10/2025;Salle de réunion CAT (DEP/DAJCP/DBC)  Ecran et Wifi ;Demande;DEP;;2000;OK DSI;;Fait;"Installation de l’écran ENI à confirmer (commande validée par Marc). Besoin identifié : Projection sur écran ou rétroprojecteur.
Retroprojecteur existant vieillissant.";;;SSD;;
DEP;;07/10/2025;Balayeuse et laveuse;Demande;MTV;;5000;OK DSI;;A étudier en 2027;"10 à 20 véhicules concernés, besoin de moyens de communication (talkie-walkie ou smartphones).
Objectifs : Faciliter la coordination entre agents (éviter les temps morts au SYCTOM).
Transmission d’informations en temps réel et signalements Neocity. Prise de photos pour dépôts sauvages.";;;SSD;travailler en 2026 pour en proirité en 2027, Kiosquer les Smartphones;
DEP;;07/10/2025;Demandes de grands écrans (suivi par Sonia DULIN);Demande;MTV;;;OK DSI;;Point en cours Mourad;;;;SSD;;
DEP;;07/10/2025;Wifi Pierre RIGAUD ;Demande;DEP;;800;OK DSI;;Rigaut, Point en cours Mourad.;L’ENI peut faire office de point de connexion. Manque d’une souris à remplacer. Formation souhaitée à l’usage de l’ENI;;;SSD;Possible voir avec Viewsonic ????;
DIRCOM;;09/09/2025;Affichage dynamique IPOVIEW;Projet;GRU;;;OK DSI;;A étudier contacter ytaraki@ivry94.fr Voir taille/format;Projet de déploiement des écrans IPOVIEW dans les 4 maisons de quartier. Étape attendue : rédaction d’une fiche projet.;;;YT/SSD;pas au courant du projet- Frank;Oui
PF;;16/12/2025;Concerto passage en V7;Projet;PF;;;DSI;;Etidier Opportunité T3 2026 contacter nchemame@ivry94.fr;"Concerto quand ils font des recherches de personne de la famille ils ont 
des difficultés à retrouver le père quand il ne fait plus partie de la
famille en contact, alors que avec la version 7 plus belles ergonomie 
demander démonstration et devis. Pas de plateforme avec Onde et Imuse.
Possibilité de demander des subventions de la CNAF";;;NCH;;Oui
PF;;16/12/2025;Interface Imuse/Concerto;Projet;PF;;;DSI;;Etude opportunité contacter nchemame@ivry94.fr;"Interface Concerto et Imuse, dans Concerto QF individuel alors que dans Imuse tarification 
par prix donc pour Julie FRANCES trop compliqué à mettre en place. Voir étude Nadir et Christophe";;;NCH;;
SPE;;16/12/2025;Octopus dans les 5 structures;Projet;SPE;;3000;OK DSI;;En cours de mise en œuvre contacter claffrat@ivry94.fr;"Octopus accompagnement par Christophe Ok sur Rosa Bonheur. Ils souhaiteraient
mettre en place Octopus sur les 5 structures env 600 euros  par an
structure 3 à minima pour 2026 par appareil pour les raisons avoir une 
fiabilité des données pour les contrôles vétérinaires HACP liaisons froides 
accompagné de tablettes pas possible de mettre des ordinateurs dans les cuisines.";;;CLA;;
DIRCOM;;09/09/2025;Renouvellement matériel mobile, iphone 11 et Ipad (obsolescence constatée);Demande;DIRCOM;;600;OK DSI;;Fait;Action : remplacement à prévoir, non prioritaire (pas urgent);;;SSD;;
DAC;;04/11/2025;Copieur;Demande;HANGAR;;?;?;;Tous les copieurs ont la même taille;Changer le copieur au tremplin car trop volumineux;;;ISA;;
DAC;;04/11/2025;Téléphonie;Demande;MED;;0;OK DSI;;Option VAA en cours d'étude (répondeur avec des scénarios);"Passage au TOIP, fournir liste agents ayant besoin d'une ligne, directe ou non
Message filtrant: renouvellement du msg des horaires d'ouverture";;;IRS;VAA : répondeur avec des scénarios;
DIRCOM;;09/09/2025;Ordinateurs MAC 2 postes manquants;Demande;INFO;;1600;OK DSI;;Fait;;;;SSD;;
DDU;;26/11/2025;Aménagement du bureau SCSH ticket #41469;Demande;SHAB;;1000;OK DSI ;;Fait;"Pas d’ordinateur installé, le réseau longe le bureau mais aucun point informatique n’a été mis en place.
Une étude devait être réalisée par la DSI (visite effectuée à l’automne).
Ticket a été ouvert #41469, la demande est passée par la RH et tardivement à la DSI.
Situation délicate pour accueillir la nouvelle personne.
Le futur bureau sera disposé différemment : prévoir alimentation électrique, réseau informatique et téléphonique.";41469;Lien;IRS;;
DIRCOM;;09/09/2025;Demande Ipad Pro;Demande;INFO;;2500;OK DSI;;Fait;Demande réitérée (non obtenue l’année dernière). Validation par la DSI pour 2026 (avec stylet et protection).;;;SSD;;
DAC;;04/11/2025;Formations Imuse ;Demande;CM;;2000;DG;;Préciser la demande en contactant claffrat@ivry94.fr;Nouvelle formation à organiser pour le Hangar, et Galerie F. Léger (250 élèves) et une partie du Conservatoire;;;CLA;Préciser l'usage;
CCAS;;04/11/2025;Parc de smatphones Millésime DOMATEL mobile;Demande;SPPAAVQ;;10000;?;;Attente retour note d'opportunité contacter ytaraki@ivry94.fr;Michel TESTA rappelle que le parc actuel de smartphones date d’avril-mai 2022 et interroge sur un éventuel renouvellement.;;;YTA;Yassine a envoyé une fiche d'opportunité attente retour;
DIRCOM;;09/09/2025;Nouvelle demandes de Smartphones;Demande;SICN;;1500;OK DSI;;Fait;Demande d’un iPhone 16 pour le community manager. Retour de 2 Samsung (qualité photo/vidéo jugée insuffisante). Possibilité d’opter pour les modèles haut de gamme pour les réseaux sociaux.;41240;Lien;SSD;;
DSALE;;18/11/2025;Pieuvre;Demande;ATSL;;500;OK DSI ;;Contacter ppoilevet@ivry94.fr pour préciser l'usage;Besoin d'une pieuvre pour salle de réunion afin de faciliter les échanges;;;IRS;;
DDAC;;05/11/2025;Wifi;Demande;SEGP;;500;OK DSI ;;Fait;Espace débat: besoin borne wifi ;;;IRS;;
DIRCOM;;09/09/2025;"Wifi – Espaces à équiper :
- CAT Saint-Just (partiel)
- Coutant
- Pablo";Demande;DIRCOM;;500;OK DSI;;Fait;"Pour le Wifi public, décision est prise de focaliser 
l’installation des bornes aux accueils CAT, pole famille, 
service habitat, coutant, pablo, salles de réunions internes";43093;Lien;IRS;;
DIRCOM;;09/09/2025;Abonnements logiciels (Autocad/Alternatives);Demande;RPI;;;NOK DSI;;;Demande initiale d’abonnement Autocad (Vanina BIENVENU). Cahier des charges à affiner. Licences flottantes gérées par Emmanuel MAUGEAIS. Possibilité d’utiliser un logiciel alternatif pour les plans simples (ex. Sketchup). Contact utilisateur référent : Amli ADJALLAH (RPI).;;;MCH;;
DIRCOM;;09/09/2025;Traduction (Teams);Demande;RPI;;;;;;"Demande d’intégration de traducteurs anglais / arabe.
Vérification de l’existence de la fonctionnalité ? tests à prévoir.";;;DSI;Selon Lucas, il faut une licence particulière pour l'arabe et elle utilise l'IA et il faut un arbitrage de la Dg;
Transverse;;03/12/2025;Renouvellement NEOCITY / 3 ans;Projet;;;40000;DG 2026;1;En cours;;;;LR;"Suite arbitrage DG: JF LORES va demander un bilan aux services il serait
intéressant de renouveller sur un an. Benjamin va voir avec
la com si ils sont satisfaits on passe sur 3 ans en
 investissement ou bien on reste sur un an. Réponse BADIA
Ok 3 ans";Oui
DIRCOM;;09/09/2025;Accessibilité Langues des signes;Demande;GRU;;?;OK DSI;;Contacter ytaraki@ivry94.fr pour préciser besoin;Etude de la solution ACCEO (traduction de la langue des signes);;;YTA;;
DRH;;11/09/2025;Outils décisionnels;Demande;SIRH;;0;OK DSI;;Fait contacter ekron@ivry94.fr;"Manque des accès aux traitements et éditions à Daniel COTE, Samia (médecine pro) et Stéphanie GATABIN 
donc il faut donner des droits sur les serveurs. Eléna KRON a organisé un point avec Djamel GAUTHIER sur ce sujet";;;EKR;;
DSF;;15/09/2025;Coriolis;Incident;DSF;;;;;En cours;Problème de lenteur constaté;;;EKR;;
DSF;;15/09/2025;Polyfac SIIM;Demande;DSF;;0;OK DSI;;"Après plusieurs relances de M. MOUGIN aucune 
réponse de sa part";Relances multiples de M. MOUGIN concernant la récupération Polyfact.;;;DSI;;
DEP;;07/10/2025;Suvi des chantiers et retours usagers;Demande;MTV;;0;OK DSI;;En cours étude besoins contacter nchemame@ivry94.fr;"Demande d’adresse mail générique pour recueillir les ressentis des riverains. Étude du canal de traitement : via Neocity ou Elise Courrier.
5. Service MTV – Maintenance et Travaux Voirie
Outil PROTYS
•	Logiciel de suivi des chantiers pour les concessionnaires.
•	Deux agents concernés (Maryse PLOMHAUSE et Toni RISPAL).
•	DSI non impliquée dans la gestion actuelle.
•	Questions à clarifier :
o	Application ou navigateur web ?
o	Paiement de crédits tous les 3 à 4 ans.
o	Contact : Nora DJAROUANE / Christine GAUTHIER.
";;;NCH/LRI;;
DAJCP;;09/10/2025;eSedit GF;Demande;SMP;;?;OK DSI;;Fait voir nchemame@ivry94.fr pour suivi;"Consommation sur les seuils des marchés sur les nomenclatures d'achats fixés, 
seuils numérotation à 4 chiffres, les seuils ne sont pas réinitialisés au début 
de chaque année : ouvrir un ticket chez BERGER LEVRAULT > Nadir Chemame
Ces n° de nomenclature ne sont pas réinitialisés et donc le montant max du marché augmente d’une année sur l’autre.
Nadir : se rapprocher de Filippini puis Ouvrir un ticket chez Berger Levraut pour réinitialiser au 1er janvier ";;;NCH;;
DAJCP;;09/10/2025;Bysness Objects Droits;Demande;SA;;0;OK DSI;;En cours voir ekron@ivry94.fr;"Droits Business Objects Stilianos PAPASTATIS : projet de requêtes sur usage des nomenclatures,
alerte sur seuils marchés >20k€, Partie hors marché Elena doit faire un retour à Stilianos
Marchés : suivi des échéances : pas exportable sur sedit GF, uniquement sur BO
Besoin d’ une alerte mensuelle";;;EKR;;
CCAS;;04/11/2025;Difficultés de badgeages;Incident;SPPAAVQ;;;;;;"Des problèmes de badges ont été signalés, l’origine n’est pas encore identifiée.
Il pourrait s’agir d’un mélange entre problème technique et mauvaises pratiques.
Ce souci n’est pas bloquant, mais impose un traitement manuel des informations censées être automatiques.";;;YTA;;
CCAS;;04/11/2025;Copieurs;Demande;SALCI;;3500;DG;;Préciser usage contacter ytaraki@ivry94.fr;"Abla KHOUADER a échangé avec Marc CHEVALIER sur le sujet du copieur.
Farouk BOUATOU rappelle qu’il ne faut pas hésiter à recontacter le prestataire en cas de panne.
Le service souhaite un copieur fonctionnel et au moins un modèle couleur pour la direction.";;;YTA;Présicer l'usage;
DAC;;04/11/2025;Dispositif Microfolies;Incident;DAC;;;;;;"Musée numérique dispositif mobile quand il déplace le dispositif, parfois cela fonctionne bien et parfois pas bien.
Voir au niveau du réseau si la connexion n'est pas stable.  Voir si besoin de mise à disposition d'un boîtier 5G";;;BDP;;
DAC;;04/11/2025;Wifi;Demande;CM;;500;OK DSI;;En cours;Borne wifi;43094;Lien;IRS;;
DAC;;04/11/2025;Téléphonie;Demande;AP-GLF;;?;DSI;;;Demande d'amélioration de la téléphonie;43096;Lien;IRS;;
DAC;;04/11/2025;Automates;Incident;MED;;;;;En cours;Automates: vigilance sur le support technique, pb réseaux;43097;Lien;IRS;;
DAC;;04/11/2025;Wifi;Demande;MED;;500;OK DSI;;Fait;besoin d'une borne au 3è étage de la médiathèque;43098;Lien;IRS;;
DAC;;04/11/2025;Wifi;Demande;MED;;1000;OK DSI;;En cours;Besoin d'une borne Salle Marat et salle de danse St Just(Rez de chaussée), ticket à créer;43100;Lien;IRS;;
DAC;;04/11/2025;Tablettes;Demande;HANGAR;;16000;DG NOK;;Possibilités de prêts de tablettes contacter fplichart@ivry94.fr;Demande de 20 tablettes avec des pieds pour des ateliers avec des classes avec du wifi foyers bars;;;;Suite arbitrage DG : Marc propose prêt de tablettes;
DIRCOM;;09/09/2025;Outils numériques;Demande;SICN;;300;OK DSI;;Contacter iabbas@ivry94.fr pour suivi commande;Canva Pro : demande de 2 licences pour Aymeric et Adèle.;43081 ;Lien;SSD;;
DJEUN;;01/10/2025;Ordinateurs portables Formation des collègues;Demande;DJEUN;;8000;DG 2026;1;Point en cours Mourad, pc ok, à voir switch et écrans;Demande de 8 ordinateurs portables. Conserver les portables actuels. Écrans et switchs à prévoir.;;;SSD;"Nadir a demandé à Mourad : Néanmoins sur les retours de Mourad il semble que les agents 
de la Djeun utilisent peu voire pas du tout les Pc";
DJEUN;;01/10/2025;Sedit GF;Demande;DJEUN;;0;OK DSI;;;Problème de Wi-Fi. Difficulté de projection sur ENI.Trop d’appels pour assistance. Nécessité de refaire une formation.;;;SSD;Possible voir avec Viewsonic ????;
DJEUN;;01/10/2025;Copieurs;Demande;DJEUN;;0;OK DSI;;;"Référente : Laurence Botrel – KOESIO. Copieur du 2e étage dysfonctionne (3 fois sur 4).
Processus d’appel au constructeur à revoir (numéro 08 inaccessible).Suivi de l’encre à vérifier.
Copieur dans l’armoire électrique : ne fonctionne plus.";;;SSD;;
DSALE;;18/11/2025;Hotline;Demande;SE;;;"DG 2026 
Expérimentation";;;Amplitude horaire de la hotline devrait être élargie le soir à 18h30;;;MCH;Suite arbitrage DG : Expérimenter roulement hotline;
DRH;;11/09/2025;Copieurs;Demande;DRH;;0;OK DSI;;Fait;Switch copieurs entre le 1 er et 2 étages un ticket est ouvert depuis l'année dernière;;;SSD;;
DDU;;26/11/2025;Formations Pelehas et Esabora;Demande;SHAB;;?;DG 2026;;Contacter ytaraki@ivry94.fr pour préciser besoin;"Demande de formation effectuée fin 2023 pour monter en compétences.
Des devis avaient été réalisés, mais la nouvelle responsable arrivée en mars n’a pu répondre dans les délais.
Prochaine disponibilité en décembre 2025, mais la date du 12 décembre 2025 n’est pas possible. 
Question : comment gérer ce besoin pour 2026 ?";;;DSI;;
DRH;;11/09/2025;Salles de Formations;Demande;EDC;;0;OK DSI;;Fait;ils souhaiteraient une mise à jour de Windows;42207;Lien;SSD;Mise à jour ok;
DDU;;26/11/2025;ENI Formations et accompagnements;Demande;SUR;;0;doublon 160;;;Demande d'accompagnement pour l’utilisation optimale de l’écran de la salle de réunion.;;;DSI;;
DBC;;05/11/2025;Acrobat PRO;Demande;;;1000;OK DSI;;;"Marc demande un tableau des usages et besoin en matière d'outils Adobe
Aujourd'hui 3 licences accordées Mariza Photoshop, Mario Photoshop et il reste 
une pour Sensia AcrobatPro et  Photoshop mais attribué à ETB par erreur.
Demande Acrobat Pro 2 licences pour Morad KADIRI et Yannick BANNIER";;;DSI;;
DBC;;05/11/2025;MS  Project;Demande;;;1000;OK DSI;;;;;;DSI;;
DSALE;;18/11/2025;ENI;Demande;ATSL;;1500;OK DSI ;;Préciser besoin en contactant fplichart@ivry94.fr;Besoin d'un ENI dans salle de réunion ATSL;;;SSD;Manque 1 ENI avec Chariot, E/ENI ?;
Transverse;;;Usage de l'IA;Projet;;;?;DG;;;;;;DSI;;
DSALE;;18/11/2025;Remise à niveau du parc informatique ;Demande;ATSL;;?;DG ;;;"Resp de site doté d'ordinateurs mais qui ne disposent pas de caméras(pas de visio possible), 
demande remise à niveau du parc informatique: Etat des lieux à faire par DSALE";;;SSD;On ne leur avait pas déjà fourni des portabbles ?;
DSALE;;18/11/2025;Materiel;Demande;SE;;;DSI;;Pour quoi faire ?  Préciser demande à fplichart@ivry94.fr;Demande d'un micro connectable à un I-Phone;;;SSD;;
DSPORTS;;27/11/2025;Astreinte DSI Weekend;Demande;;;-;DG;;;;;;DSI;;
VAC;;16/12/2025;Concerto formulaire fiche sanitaire;Projet;VAC;;;DSI;;En cours N CHEMAME et S DRAME;"Concerto les familles puissent remplir la fiche sanitaires dématérialisée avec les certificats 
médicaux droits à l'image, vaccins etc.. Sedina commence à travailler dessus.";;;NCH;;Oui
CMS;;09/12/2025;Galaxie administratif;Demande;AFL;;;DSI;;En cours contacter ytaraki@ivry94.fr;"Au niveau du cadrage des ordonnances possibilité d'avoir le modèle Word pour éviter le cadrage 
mais le papier à en-tête est de couleurs. Voir avec Galaxie si ils peuvent mettre un modèle Word 
pour éviter le papier à en-tête pré-imprimé avec en-tête et colonne sur droite avec les secteurs.
Logo Adresse Finness etc..";;;YT;;
CMS;;09/12/2025;Wifi;Demande;DS;;;DSI;;Fait;"Continuité du déploiement du WIFI dans le CMS, Grégory va envoyer un plan ou schéma 
des endroits ayant besoin de Wifi";;;IRS;;
DSALE;;18/11/2025;ENI;Incident;ATSL;;0;OK DSI ;;;Pb de connexion à l'ENI dans salle de réunion Direction de la DSALE;;;SSD;Manque des tutos sur possibilités;
CMS;;09/12/2025;Lecteurs carte vitales en mobilités;Demande;SCMS;;;DSI;;A étudier contacter ytaraki@ivry94.fr;"Demandes des lecteurs cartes vitales et cartes vitales dématérialisées. Demander à XtremSanté 
comment cela fonctionne. Car actuellement les infirmière en mobilitées sont en mode dégradées car elle note le numéro de carte vitale  
puis les ressaisisent au CMS et cela ne respecte pas l'accord national";;;YT;;
DSF;;15/09/2025;Copieurs;Demande;DSF;;3500;OK DSI;;En cours;"Demande : remplacement de deux photocopieurs (marchés publics et DSF). Installer un seul photocopieur couleur à la place.
Attention : copie couleur coûte 10x plus cher ? par défaut en noir et blanc.
Liste des personnes autorisées à imprimer en couleur (via Papercut).
";43075;;SSD;;
DSPORTS;;27/11/2025;Evolution téléphonie - fixe/portable - 43 agents - 10 installations;Projet;SIS;;30000;DG 2026;1;"Ok sur le process mais à affiner sur les usages
 et solutions possibles contacter fplichart@ivry94.fr";Voir avec DRH / Travailleurs Isolés;;;SSD;Suite arbitrage DG : Ok sur le process mais à affiner sur les usages et solutions possibles;
DSPORTS;;27/11/2025;3 imprimantes A3 par secteur pour planning;Demande;SIS;;1000;DSI;;;"Possibilité d'avoir 3 imprimantes A3 couleurs par secteur pour les impressions soit des plannings
soit des plans d'installations, d'affiches car aujourd'hui ils doivent venir à la direction..";;;SSD;Affiner les besoins;
